co2TailpipeGpm,cylinders,displ,drive,fuelType,make,phevBlended,transmission,VClass
423.190476190,4,2,Rear-Wheel Drive,Regular,Alfa Romeo,False,Man,Two Seaters
807.909090909,12,4.9,Rear-Wheel Drive,Regular,Ferrari,False,Man,Two Seaters
329.148148148,4,2.2,Front-Wheel Drive,Regular,Dodge,False,Man,Subcompact Cars
807.909090909,8,5.2,Rear-Wheel Drive,Regular,Dodge,False,Aut,Vans
467.736842105,4,2.2,4-Wheel or All-Wheel Drive,Premium,Subaru,False,Man,Compact Cars
403.954545455,4,1.8,Front-Wheel Drive,Regular,Subaru,False,Aut,Compact Cars
355.48,4,1.8,Front-Wheel Drive,Regular,Subaru,False,Man,Compact Cars
370.291666667,4,1.6,Front-Wheel Drive,Regular,Toyota,False,Aut,Compact Cars
341.807692308,4,1.6,Front-Wheel Drive,Regular,Toyota,False,Man,Compact Cars
355.48,4,1.8,Front-Wheel Drive,Regular,Toyota,False,Aut,Compact Cars
341.807692308,4,1.8,Front-Wheel Drive,Regular,Toyota,False,Man,Compact Cars
423.190476190,4,2,Front-Wheel Drive,Regular,Volkswagen,False,Aut,Compact Cars
370.291666667,4,2,Front-Wheel Drive,Regular,Volkswagen,False,Man,Compact Cars
423.190476190,4,2,Front-Wheel Drive,Regular,Volkswagen,False,Aut,Compact Cars
683.615384615,8,5.2,Rear-Wheel Drive,Regular,Dodge,False,Aut,Vans
386.391304348,4,2,Front-Wheel Drive,Regular,Volkswagen,False,Man,Compact Cars
444.35,4,2.3,Rear-Wheel Drive,Regular,Volvo,False,Aut,Compact Cars
423.190476190,4,2.3,Rear-Wheel Drive,Regular,Volvo,False,Man,Compact Cars
467.736842105,6,2.8,Front-Wheel Drive,Premium,Audi,False,Aut,Midsize Cars
467.736842105,6,2.8,Front-Wheel Drive,Premium,Audi,False,Man,Midsize Cars
555.4375,8,4,Rear-Wheel Drive,Premium,BMW,False,Aut,Midsize Cars
555.4375,8,4,Rear-Wheel Drive,Premium,BMW,False,Aut,Midsize Cars
683.615384615,12,5,Rear-Wheel Drive,Regular,BMW,False,Aut,Midsize Cars
386.391304348,4,2.2,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize Cars
467.736842105,6,3.3,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize Cars
683.615384615,8,5.2,Rear-Wheel Drive,Regular,Dodge,False,Man,Vans
423.190476190,6,3.3,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize Cars
444.35,6,3.1,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize Cars
444.35,6,3.1,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize Cars
444.35,6,3.8,Front-Wheel Drive,Regular,Buick,False,Aut,Midsize Cars
493.722222222,8,4.6,Front-Wheel Drive,Premium,Cadillac,False,Aut,Midsize Cars
522.764705882,8,4.9,Front-Wheel Drive,Premium,Cadillac,False,Aut,Midsize Cars
493.722222222,8,4.6,Front-Wheel Drive,Premium,Cadillac,False,Aut,Midsize Cars
522.764705882,8,4.9,Front-Wheel Drive,Premium,Cadillac,False,Aut,Midsize Cars
423.190476190,4,2.2,Front-Wheel Drive,Regular,Chevrolet,False,Aut,Midsize Cars
683.615384615,8,5.2,Rear-Wheel Drive,Regular,Dodge,False,Man,Vans
444.35,6,3.1,Front-Wheel Drive,Regular,Chevrolet,False,Aut,Midsize Cars
444.35,6,3.1,Front-Wheel Drive,Regular,Chevrolet,False,Aut,Midsize Cars
493.722222222,6,3.4,Front-Wheel Drive,Regular,Chevrolet,False,Aut,Midsize Cars
493.722222222,6,3.4,Front-Wheel Drive,Regular,Chevrolet,False,Man,Midsize Cars
444.35,6,3.3,Front-Wheel Drive,Regular,Chrysler,False,Aut,Midsize Cars
592.466666667,6,3,Front-Wheel Drive,Premium,CX Automotive,False,Man,Midsize Cars
592.466666667,6,3,Front-Wheel Drive,Premium,CX Automotive,False,Aut,Midsize Cars
